squareMeters,floors,hasYard,hasPool,cityPartRange_10
60450,16,1,0,0
61995,98,1,0,0
85202,40,1,1,0
60396,81,1,1,0
93290,60,1,1,0
30442,60,0,0,0
15148,11,0,0,0
98131,97,0,1,0
97831,75,0,1,0
26883,20,1,0,0
91156,47,0,1,0
87156,44,1,0,0
42903,28,1,1,0
40095,41,0,1,0
80722,25,0,0,1
45979,2,0,1,1
74079,28,0,1,0
52866,40,0,1,0
24055,81,0,1,0
19796,30,1,0,0
83120,7,0,0,0
75354,61,0,1,0
91482,32,1,0,0
66628,70,1,0,1
86677,64,1,1,0
18653,40,1,1,1
15262,72,0,1,0
20587,71,1,0,0
11471,100,0,0,0
32604,38,1,0,0
79768,48,1,0,1
50118,76,1,0,0
77724,79,0,0,0
1932,36,1,1,0
89940,52,0,0,1
86019,91,0,0,0
88935,93,1,0,0
90304,78,1,1,0
92722,73,1,0,0
71997,44,1,1,0
89674,5,0,0,0
10798,59,1,0,0
18014,67,1,1,0
38003,6,1,0,0
60555,17,1,1,1
24313,53,1,0,0
25210,34,1,0,0
10437,23,0,1,0
62599,37,0,1,0
48270,85,1,1,0
17466,51,0,0,0
32769,34,0,1,1
56025,86,1,0,0
85154,33,1,0,1
25263,51,1,1,0
683,31,1,1,1
28825,35,0,0,0
39682,42,0,0,1
96037,4,1,0,0
92201,66,0,1,0
72114,32,1,0,0
2943,29,1,1,0
47579,8,1,0,0
39269,16,0,1,0
98678,3,1,1,0
93190,44,0,0,0
96593,79,1,0,1
25224,48,0,1,0
74383,14,0,0,0
47824,12,0,0,0
29319,47,1,0,0
99952,69,1,0,1
10370,2,1,1,0
21054,46,0,1,0
90417,88,0,0,0
63062,37,0,0,1
26090,78,1,0,0
60256,68,1,0,0
63941,12,0,0,1
11914,57,1,0,0
91419,1,1,0,0
83934,31,1,1,1
79576,24,0,0,0
42208,11,1,0,0
3893,89,0,1,0
88174,84,0,1,0
21558,3,0,0,0
88780,89,1,1,0
14610,62,1,1,0
23684,76,0,0,0
13079,11,0,1,0
66442,52,0,1,0
81063,60,0,1,0
5802,61,0,0,0
41147,87,0,1,0
70226,77,0,1,0
79499,79,1,1,0
65896,40,1,1,0
42230,16,0,1,0
15728,12,1,0,0
80237,35,0,0,0
92696,38,1,0,0
69055,52,1,0,0
79604,4,0,1,0
46119,68,0,1,0
17966,18,0,1,0
94789,3,0,1,0
65549,38,0,0,0
20365,62,0,0,0
9196,11,0,1,0
41667,32,0,1,0
889,30,1,0,0
87245,37,1,0,0
10484,43,0,0,0
55275,10,1,0,0
50109,27,1,1,0
5390,54,1,1,0
40077,90,1,0,0
85955,56,0,0,0
44802,4,0,1,0
68083,75,0,0,0
94122,77,0,0,1
69893,65,0,0,1
19728,85,1,0,0
148,11,0,0,0
64180,100,1,1,0
65982,56,1,1,0
44718,67,0,0,0
43283,43,0,1,0
30925,83,1,1,0
53547,35,0,0,0
85489,42,1,0,0
3864,80,1,1,0
55984,51,0,1,0
90947,8,1,0,0
47671,78,1,1,0
61073,77,1,0,0
90122,89,0,1,1
13087,12,0,0,0
30317,78,0,1,0
68723,8,0,0,0
27279,57,1,1,0
62691,77,1,0,0
24979,62,1,1,0
60401,86,0,0,0
6012,38,1,0,0
17357,20,0,0,0
39756,23,0,1,0
6389,100,0,1,0
77744,85,0,0,1
49322,97,0,0,0
25495,7,0,1,0
72859,52,0,0,0
69178,1,1,1,0
75927,38,1,1,0
21258,30,1,1,0
49358,49,1,1,0
1607,46,1,0,0
64514,7,1,1,0
37424,62,1,0,0
8369,67,0,1,1
59437,60,1,1,0
65900,99,1,1,0
55840,11,0,1,0
80309,50,0,1,0
65482,21,1,1,0
634,10,0,1,0
28597,47,0,0,0
90842,25,1,1,0
41681,85,1,1,0
93650,83,1,1,0
22232,52,0,1,0
61361,39,0,0,0
60249,48,1,1,0
13814,97,1,0,0
96151,100,1,1,0
31492,28,0,0,0
66283,95,0,1,0
46445,22,1,1,0
70210,56,1,0,0
68772,98,0,1,0
53857,49,1,0,0
34220,33,1,1,0
1863,81,1,1,0
11192,100,1,1,0
83512,45,1,1,1
72570,97,0,0,0
3479,21,0,0,0
16806,19,1,0,0
77339,33,1,0,0
43108,48,1,1,0
54919,15,1,0,0
13309,73,1,0,0
41371,64,0,0,0
22875,95,1,0,0
54386,95,0,0,0
34689,85,1,0,0
93564,66,1,1,0
31433,6,1,1,0
41343,60,0,0,0
1575,17,1,1,1
7759,16,1,1,1
92698,28,1,0,0
26390,11,1,0,0
17847,15,1,1,0
26230,21,1,1,0
63631,12,1,0,0
33065,22,1,1,1
966,85,0,1,0
69810,67,0,1,0
67625,84,1,0,0
44524,47,1,0,0
27918,71,0,1,0
80324,7,1,1,0
10745,14,1,0,0
47148,78,0,1,0
70751,93,1,0,1
5670,56,0,0,0
66258,84,1,1,0
82953,94,0,0,0
64674,17,1,0,0
94939,48,1,1,0
47542,40,1,1,0
81814,7,1,0,0
12922,34,1,0,0
31601,35,0,0,0
27197,91,1,1,0
88906,42,1,1,0
14386,87,1,1,0
75571,47,1,0,0
34826,2,1,0,0
7517,59,1,0,0
93952,10,1,1,0
79786,87,1,1,1
49820,38,0,1,0
21370,67,0,1,0
52887,30,0,1,0
46478,31,1,1,0
70544,11,0,0,1
46735,28,1,1,0
19649,83,0,1,0
9423,56,0,0,0
54907,64,0,0,1
31616,35,0,1,0
54250,23,1,0,0
63953,25,0,1,0
69319,89,0,0,0
13559,100,0,1,0
49031,62,1,1,0
18684,42,1,0,0
25745,53,0,1,1
69722,14,0,0,0
5801,74,1,0,0
24052,6,1,1,0
3452,76,0,1,0
77855,100,1,1,0
54484,76,1,0,0
44240,26,1,1,0
31113,93,1,1,1
31054,44,0,0,0
13898,41,0,0,0
34796,47,1,0,0
77579,97,1,1,0
73717,39,1,1,0
6127,77,1,0,0
27444,46,1,1,0
33185,60,0,1,0
82819,86,0,1,0
57806,47,1,1,0
17114,28,1,0,0
17167,60,0,1,0
59316,64,0,0,0
68188,48,0,1,0
51408,84,0,0,0
84952,85,0,0,0
5375,58,1,1,1
39097,18,0,1,0
59751,66,1,1,0
75598,29,1,1,1
33267,68,0,0,0
31308,73,0,1,0
32282,9,1,0,1
95762,63,1,0,1
52899,54,0,1,0
2226,4,1,0,0
86452,76,0,1,0
77654,41,1,1,0
34838,95,1,1,0
45939,5,0,0,0
89724,79,1,1,0
39742,40,0,0,0
96867,2,1,1,0
88642,83,0,0,0
69394,39,1,1,0
73885,31,0,1,0
84431,35,0,0,0
14635,82,0,0,0
92256,35,0,1,1
78453,83,1,1,0
83817,60,0,1,0
31609,15,1,1,0
25052,94,0,0,0
36122,7,1,1,0
75689,32,0,0,0
75645,64,1,0,0
81645,37,1,1,1
31209,23,1,0,0
81783,26,1,1,0
38454,6,1,0,0
25972,98,1,1,1
32476,32,1,0,0
58980,82,1,1,0
24278,60,0,0,0
73021,76,1,0,0
70293,80,0,1,0
15534,23,0,1,0
62366,41,0,0,0
36417,85,1,1,0
23164,76,0,0,0
7888,90,0,1,0
79361,19,1,1,0
68825,13,1,1,0
46525,66,1,1,0
4009,74,1,0,0
36496,47,0,1,0
72109,41,1,0,0
87683,57,0,1,0
19440,51,1,0,0
67020,38,1,1,0
80475,78,0,0,0
93733,4,1,1,0
43912,88,0,0,1
46771,95,0,0,0
97684,93,0,0,0
53894,58,1,0,0
21667,53,1,1,0
17508,55,1,0,0
57865,30,0,0,0
28467,70,1,1,0
21136,97,1,0,0
14447,94,1,0,0
18603,5,1,1,0
35930,27,0,1,1
97544,72,0,0,0
82469,66,1,0,0
76074,72,1,0,0
99031,13,1,0,0
9333,9,1,1,0
28195,80,0,0,0
26348,89,0,1,0
43667,81,1,0,0
75296,76,1,0,0
925,51,1,0,0
38375,21,1,0,0
2877,83,1,0,0
90562,7,1,1,0
72938,15,1,0,0
95063,32,0,1,0
97428,76,1,0,0
52785,61,0,1,0
51579,6,0,1,0
72365,79,1,1,0
5399,14,0,0,0
27423,45,0,0,0
59972,18,0,1,0
45985,83,0,0,0
23009,71,0,0,0
68925,93,1,1,0
15662,28,1,0,0
389,34,0,1,0
58938,64,1,1,0
97125,77,0,0,0
93409,9,0,0,0
67974,2,0,0,0
45441,66,1,0,0
55429,16,0,1,0
74139,18,1,0,0
64269,26,0,0,0
14598,2,0,1,0
77359,71,1,0,0
44304,6,0,1,0
71527,24,1,1,0
89237,99,1,0,0
84288,6,0,1,0
43496,30,1,1,0
69421,9,0,1,0
15517,27,0,0,0
51474,27,1,1,0
12555,55,1,1,0
67360,42,0,1,0
64504,19,0,0,0
95269,44,0,0,0
20869,84,1,0,0
85558,83,1,0,0
72820,69,0,0,0
58871,60,0,0,0
25316,17,1,0,0
65822,88,0,0,0
37656,87,0,0,0
48736,89,1,1,1
23552,59,0,1,0
19911,22,1,1,0
12757,7,1,0,0
73903,35,1,0,0
26519,59,0,1,1
99767,79,0,1,0
24150,57,1,1,0
98661,31,0,1,1
96595,63,1,1,0
76903,29,1,1,0
79673,99,0,1,0
97452,54,1,1,1
82284,90,0,1,0
58041,29,1,0,1
44206,53,1,1,0
51127,41,0,0,0
88545,8,0,1,0
96498,10,0,0,0
50664,46,1,0,0
33135,77,0,0,0
32185,12,1,0,1
70881,64,1,0,0
63669,72,0,0,0
77086,92,0,1,0
59582,79,1,0,0
91513,3,0,0,0
80352,5,0,1,0
82678,62,0,1,0
10987,93,1,1,0
76936,31,0,0,0
89178,89,0,0,0
34686,45,1,1,0
8751,2,0,0,0
83358,68,1,0,1
32138,91,1,1,0
7131,20,1,1,0
1115,96,1,1,1
25813,7,1,0,0
81837,12,0,0,0
53735,92,0,1,0
52593,24,0,1,0
23892,14,0,0,0
52424,45,0,1,1
99372,94,1,1,0
78338,65,0,1,0
49940,86,0,1,0
64079,50,0,0,0
62655,76,0,0,0
40006,29,1,1,0
95096,83,0,0,0
47691,48,1,0,0
54045,60,1,1,0
51040,38,0,0,0
52378,25,1,0,0
86277,5,0,1,0
1054,9,1,0,0
18848,36,0,0,0
28911,55,1,1,0
61263,43,0,0,0
64807,93,1,1,0
6481,60,1,1,1
72449,48,0,1,0
299,37,1,0,1
58617,24,1,1,0
68084,8,0,0,0
35714,52,1,0,0
91651,95,1,0,0
47177,25,1,1,0
68744,77,1,1,0
10288,44,0,1,0
32282,97,0,0,0
14878,18,0,1,0
41302,44,1,1,0
30821,27,0,1,0
60506,77,1,0,0
61578,35,1,1,0
97810,93,0,1,0
71691,65,1,1,0
67125,49,0,1,0
94409,75,0,1,0
38529,77,0,1,0
90078,36,1,1,0
9092,62,1,0,0
65029,70,0,0,0
18231,74,0,1,0
70087,81,1,1,0
23147,67,0,0,0
77045,25,0,1,0
87590,29,1,0,0
92128,100,1,0,0
36095,32,1,1,1
3770,22,1,1,0
47701,46,1,0,0
35576,18,0,0,1
42277,57,1,1,0
79666,14,0,1,0
56339,21,1,1,0
73739,10,1,1,0
40337,29,1,0,1
34830,85,1,0,0
36563,78,1,1,1
64633,56,0,1,0
20743,15,1,0,0
27060,90,0,0,0
60056,7,0,1,0
30877,5,1,0,0
13877,23,1,1,0
48302,13,1,0,0
255,77,1,1,0
20820,70,0,0,0
99872,27,0,0,0
47807,67,1,0,0
35985,51,1,1,0
21991,4,0,0,0
7139,65,1,1,0
33640,18,0,1,0
80827,82,0,0,0
50152,70,1,0,1
29570,32,0,0,0
85421,23,0,0,0
53596,97,1,1,0
55736,47,1,1,1
18250,82,0,0,0
99062,47,0,0,0
65068,2,0,0,0
84355,22,0,1,0
4169,30,0,0,0
62388,21,1,0,0
49300,46,0,1,0
97578,63,1,1,0
2834,100,1,1,0
62105,33,0,1,0
41880,87,0,1,0
54337,20,0,1,0
94947,97,1,0,0
74571,42,1,0,0
49374,63,0,0,0
9897,55,1,0,0
52384,95,0,1,0
33349,81,0,0,1
48854,83,1,0,0
63693,36,1,0,0
61534,97,1,0,0
70681,26,0,0,0
45209,8,0,1,0
81458,22,1,0,0
5456,97,1,1,0
23027,35,1,0,0
22737,5,1,0,0
73808,14,1,1,0
77158,12,1,1,0
39899,41,0,0,0
85705,24,1,0,0
3289,72,0,0,0
29512,26,0,1,0
47327,40,1,0,0
52610,69,0,1,0
12130,60,1,0,0
36187,66,0,0,0
45426,9,0,0,0
58284,73,1,0,0
48344,20,0,0,0
89768,17,1,1,0
15729,94,0,0,1
5767,11,1,1,0
9845,82,0,1,0
11922,96,1,1,0
82274,69,1,1,0
68375,74,0,0,0
19969,36,1,0,1
97867,66,1,1,0
57790,65,0,1,0
79770,57,0,0,0
60817,76,1,0,0
49772,68,0,1,0
60153,46,0,1,0
79770,73,1,0,0
77915,21,0,0,0
39092,39,0,0,0
66569,56,1,1,0
80419,31,0,0,0
49116,41,1,1,0
38713,13,1,0,0
97895,45,0,1,0
75848,98,1,0,0
29578,5,0,0,0
63990,46,1,0,1
19907,47,0,1,0
15656,87,0,0,1
18152,85,1,0,0
30403,84,1,0,0
11646,66,0,1,0
26665,62,1,0,0
47938,68,0,0,0
76612,57,1,1,0
99217,34,0,0,0
68667,24,0,0,0
83602,2,0,1,0
28790,15,1,0,0
63137,46,0,1,0
87763,11,0,0,0
36131,88,0,0,0
98303,79,1,1,1
34013,95,1,0,0
39132,68,1,1,0
9677,50,1,1,0
60886,12,0,0,0
50982,73,1,0,0
15334,43,1,0,0
55678,51,0,0,0
98551,78,0,1,0
56065,52,1,0,0
62282,44,0,0,0
98094,8,0,1,0
60263,29,0,0,0
38021,82,1,1,0
22716,36,0,0,0
75363,40,0,1,0
88399,15,1,0,0
28722,54,1,0,0
13323,32,1,1,0
4263,39,0,0,0
54042,76,1,1,0
37312,9,0,1,0
19526,55,0,1,0
17618,91,0,0,0
3573,80,0,1,1
22773,44,1,0,0
89823,26,1,0,0
45278,21,1,0,0
69314,80,1,1,0
65163,49,0,1,0
45521,12,1,0,0
65830,4,1,0,0
50839,91,0,0,0
74857,55,0,1,0
62710,54,1,0,0
32060,97,0,1,0
62328,72,1,0,1
97760,72,1,1,1
24775,16,0,0,1
70062,100,1,1,0
75271,74,0,1,0
43120,58,1,1,1
54111,58,1,1,0
87819,4,0,0,0
69411,25,1,0,0
91531,12,1,0,0
62964,13,0,0,1
43885,3,1,0,0
40912,45,1,1,0
8305,83,0,0,0
53062,13,1,1,0
29824,24,1,0,0
45234,21,0,1,0
1450,1,0,0,1
59986,17,1,0,0
60619,93,1,1,0
89356,18,0,0,1
38079,74,0,1,0
5279,72,1,1,0
65934,69,1,1,0
22701,35,0,1,0
52194,97,0,1,0
8687,64,0,1,0
40952,57,1,1,1
47956,69,0,0,0
62690,62,1,1,0
48789,51,1,0,1
31696,57,0,0,0
46219,88,1,0,0
92675,9,1,1,0
83120,68,0,1,0
50253,5,1,0,0
42810,14,1,1,0
11778,95,0,1,0
8962,49,1,1,1
86558,30,0,0,0
42826,49,0,0,0
70810,23,1,0,1
68665,98,1,1,0
90824,37,1,1,0
59099,89,0,1,1
58478,35,0,1,0
83937,85,0,0,0
45273,27,0,1,0
96526,65,0,0,0
45738,69,1,1,0
20401,3,1,1,0
62751,92,0,1,0
74927,17,0,0,0
46068,43,1,0,0
41276,66,1,1,0
23987,23,0,0,0
65639,72,0,1,1
71661,64,0,1,0
10751,61,1,1,0
38431,60,1,0,0
63119,84,1,0,0
98566,83,1,1,0
26017,65,0,0,0
37956,50,0,0,0
74947,17,1,1,0
27586,64,0,0,0
11928,61,0,0,0
64441,1,1,0,0
53885,36,0,0,0
46183,5,1,0,0
1008,73,0,0,0
28808,13,1,1,0
50844,83,0,1,0
35122,43,0,0,0
42346,4,1,1,0
3587,51,1,1,0
49008,78,0,1,0
71993,79,1,1,0
61049,51,0,1,0
3624,1,1,0,0
52599,72,0,1,0
45381,3,1,0,1
25487,76,1,1,0
78958,82,0,0,0
11680,14,0,0,1
61054,50,1,0,0
90957,79,0,1,0
88328,19,0,1,0
5389,25,0,1,0
64365,27,1,1,0
41303,29,0,0,0
8808,37,1,0,0
99151,17,1,0,0
85420,18,1,0,0
68974,52,0,1,0
97187,55,1,1,1
64943,8,0,0,0
42211,94,1,1,0
93924,38,0,0,0
9157,53,1,0,0
48458,72,1,0,0
44459,62,1,0,0
70139,78,1,1,1
62744,26,0,1,0
8856,38,1,1,0
80062,90,0,0,0
70868,39,1,1,1
40227,46,1,1,0
78254,71,0,0,0
3629,33,0,1,0
86184,50,1,0,0
94639,72,1,1,1
32497,20,0,1,0
41090,39,0,1,0
26089,6,1,1,0
29815,77,0,0,0
12992,5,1,1,0
21217,47,0,1,0
41856,43,1,1,0
78498,99,1,1,0
61632,69,0,0,0
26916,58,0,1,0
68760,90,0,1,0
50567,19,0,0,0
76194,73,0,1,0
91004,11,1,0,0
831,86,0,0,0
88168,57,1,1,0
77990,93,1,0,1
71354,13,1,0,0
29758,63,1,0,0
93363,96,1,0,0
98857,72,1,1,0
28053,22,1,1,0
34291,51,1,0,0
41387,37,0,0,0
22714,48,0,0,0
79629,8,0,0,0
91524,83,1,1,0
38936,91,0,0,0
97566,41,1,0,1
4187,17,0,1,0
95404,8,0,1,0
19602,89,1,0,0
94754,82,0,0,1
31505,6,0,1,0
91988,47,1,1,0
73177,5,1,0,0
89003,86,1,0,0
91443,61,0,0,0
16357,15,1,1,0
63189,1,0,0,0
40184,74,1,0,0
17901,23,0,0,0
27442,28,0,1,0
26519,42,1,1,0
80249,43,1,0,0
32156,78,1,1,0
4368,29,0,1,0
84744,92,0,1,0
65233,64,0,0,0
87204,90,0,0,0
52416,98,1,1,1
91478,75,1,1,0
89335,54,1,1,0
61704,11,1,0,0
70503,29,0,0,0
856,38,1,1,0
78216,89,1,1,0
20109,28,1,0,0
82006,61,1,0,0
80808,1,1,0,0
34070,75,0,1,1
28957,2,1,1,0
62601,53,0,0,0
13138,25,1,0,0
111,34,0,1,0
64827,54,1,1,0
68270,65,1,0,0
61752,57,0,1,0
28543,29,1,0,0
7443,41,1,0,0
93443,93,1,0,0
31350,11,0,0,0
89186,5,0,0,0
82940,12,0,0,0
68593,65,1,1,0
11580,75,1,0,0
63533,11,1,0,0
99536,32,0,0,0
44304,63,0,0,0
97863,38,1,0,0
88367,7,0,0,0
88259,96,0,0,0
63326,41,1,1,0
59732,75,1,1,0
4809,48,0,1,0
5134,14,1,1,0
52284,58,0,1,0
14774,85,0,0,0
93168,58,0,1,0
85372,5,0,0,1
93202,8,1,0,0
35791,12,1,1,0
12877,64,0,0,0
12148,63,1,0,0
64087,29,1,0,0
30300,74,0,0,0
94396,10,0,1,0
24396,48,0,0,0
5758,57,1,0,0
16996,52,1,0,0
35082,52,1,1,0
8587,76,0,0,0
31149,81,1,0,0
38511,27,0,0,0
30226,87,1,1,1
70274,32,1,1,0
33647,78,0,1,0
90193,3,1,1,0
84902,38,1,1,0
32337,80,1,0,0
38829,54,1,1,1
56509,68,1,0,1
52141,40,0,1,0
58585,49,0,1,0
48258,46,0,0,0
5058,63,1,1,0
13688,19,0,0,0
5110,66,0,1,1
72563,39,0,0,0
63163,36,0,1,1
55482,78,1,0,0
59509,38,1,0,0
17307,66,1,0,0
37560,28,0,1,0
31055,66,0,0,0
47364,9,1,0,1
98827,73,0,0,0
9881,34,1,1,1
51585,8,0,1,0
56774,23,1,0,0
15180,6,0,0,0
9126,96,0,0,0
52169,47,1,1,0
62979,85,1,0,0
10983,4,0,1,0
788,53,0,0,0
61311,4,1,1,0
28579,63,0,1,1
52974,24,1,1,0
5208,69,0,1,1
16354,53,1,1,0
4574,77,1,1,0
9629,16,1,0,0
44403,12,1,1,0
49365,46,1,0,0
63973,78,1,0,0
5577,79,0,0,0
10714,53,0,1,1
78000,25,0,0,0
51999,85,0,0,0
46132,90,1,0,0
52687,43,1,0,0
46540,85,0,0,0
2848,70,1,1,0
96224,33,0,1,0
54473,40,1,0,0
45430,75,1,0,0
24896,11,0,1,0
54646,98,1,0,0
68106,92,1,0,0
85301,50,0,0,0
59764,39,0,1,0
85272,34,1,0,0
52746,14,0,0,0
47097,46,1,0,0
84630,18,0,0,0
29402,67,0,0,0
53822,14,0,0,1
80331,56,0,0,0
6381,78,0,0,0
76262,86,1,1,0
66542,96,0,0,0
4348,5,0,0,0
17786,38,1,1,0
19520,64,0,1,0
4308,19,0,0,0
45184,64,0,0,0
5264,60,1,0,0
16668,68,1,0,1
10482,70,1,1,0
81573,57,1,0,0
36842,19,0,0,0
69034,36,0,1,0
73073,54,0,1,1
36636,9,0,1,0
54740,17,1,0,0
88755,5,1,1,0
68522,53,0,0,0
88182,82,1,1,0
93674,75,0,1,0
4617,64,0,1,0
23212,90,1,0,0
27465,39,0,1,0
1448,99,0,0,0
39654,57,0,1,0
67012,76,0,0,0
80691,13,0,0,1
44251,48,0,1,0
40155,99,0,1,0
17595,99,1,1,0
69364,2,1,1,0
49425,79,1,1,0
59237,85,1,0,0
44847,60,1,1,0
23228,18,0,0,0
47722,40,0,0,0
11093,71,0,1,0
52297,41,0,1,0
39337,53,0,1,0
32928,81,0,1,0
57480,97,0,1,0
76647,51,1,1,0
63648,23,1,1,0
78259,3,1,0,0
43030,85,1,1,0
96871,77,0,0,0
8020,85,0,1,0
26268,19,0,1,0
81793,73,0,0,0
65946,63,0,1,0
50944,11,0,1,0
71040,18,1,1,0
90068,55,1,0,0
28659,21,0,1,0
22648,22,0,1,0
35631,7,1,0,1
96091,24,0,1,1
78851,53,0,1,0
24633,62,1,1,0
19189,50,1,0,0
1677,52,0,0,0
9115,8,0,1,0
45206,12,1,1,0
50877,89,1,1,0
15614,37,0,1,1
66518,96,0,1,0
29444,63,0,0,0
5620,56,0,0,0
68731,70,1,0,0
71549,85,1,1,0
10719,17,0,1,0
86607,98,1,0,0
25643,34,1,1,0
4711,80,0,1,0
16765,45,1,0,1
29753,68,1,1,0
44429,85,1,0,0
40207,48,1,1,0
24560,3,0,1,0
211,46,0,0,0
21068,85,1,1,0
20447,99,0,1,0
77882,76,0,1,0
44633,69,1,0,0
2033,57,1,0,0
86990,37,0,0,0
92242,39,1,1,1
22521,63,1,1,0
55020,14,0,0,0
38758,13,1,0,0
80023,48,1,0,0
93375,97,1,1,0
32974,50,1,1,0
39524,2,0,0,1
16416,98,0,0,0
9380,97,1,0,1
69157,83,1,1,1
1887,28,0,1,1
77280,8,0,1,0
7033,37,0,1,0
7772,70,1,0,0
43579,87,1,0,0
4261,74,0,0,0
87479,78,0,1,0
12629,40,1,0,0
39239,97,0,1,0
51036,10,0,0,0
82535,17,0,1,0
65625,36,0,1,0
75520,23,1,1,0
84791,69,1,1,0
63711,7,0,0,0
74180,7,1,0,0
73318,56,1,0,0
39799,76,1,0,0
72545,78,1,1,1
56202,89,0,0,0
29827,45,1,1,1
70820,30,1,1,0
23198,73,1,0,0
46532,85,0,0,1
51780,88,0,0,0
24631,78,0,0,0
23759,56,0,0,0
20075,87,0,0,1
47607,13,0,1,0
33023,23,0,1,0
16214,56,1,0,0
62236,32,0,0,0
54859,2,0,0,0
79298,64,0,1,0
6086,4,0,0,0
22421,46,0,0,0
46349,24,0,0,0
81019,84,0,1,0
65164,20,1,0,0
67830,36,1,1,0
81468,39,0,1,0
91725,100,0,0,0
39191,21,0,0,0
69179,9,0,1,0
45553,22,0,0,0
17761,5,0,0,0
91931,42,1,0,0
45947,15,0,0,0
9166,16,1,0,0
27995,1,1,1,0
62008,21,0,1,0
31774,47,1,0,0
32084,71,1,0,1
21150,5,1,1,0
34835,64,0,0,0
9632,14,1,1,0
89087,44,0,1,0
7729,35,1,1,0
518,86,1,0,0
8161,78,1,1,0
34919,84,1,1,0
16284,29,1,1,1
12551,53,0,0,0
28452,72,0,0,0
50663,42,0,1,0
15713,68,0,0,0
68603,23,0,0,0
50638,54,1,0,0
47022,35,1,1,0
72730,38,0,0,0
73082,18,1,1,0
47413,60,0,1,0
18037,16,0,0,0
10606,16,0,1,0
88308,35,1,0,0
29528,16,0,0,0
27193,5,1,1,0
27538,82,1,0,0
9613,29,0,1,1
44722,91,0,1,0
64088,67,0,1,0
66705,11,0,0,0
72178,20,0,0,0
18604,23,0,0,0
97474,60,1,1,1
86634,84,0,0,1
68826,21,0,0,0
29788,68,0,0,0
82707,25,1,1,0
93224,85,0,1,0
70989,82,1,1,0
37017,75,0,1,0
38937,77,0,1,0
67971,85,1,0,0
74556,30,1,0,0
37471,12,0,0,0
65790,62,1,0,0
78199,15,0,1,0
89220,64,1,0,0
38833,14,0,0,0
71523,42,0,1,0
26943,86,1,1,0
94695,1,1,1,0
67370,28,1,0,0
67648,67,0,0,0
93913,15,0,1,0
45859,69,0,1,0
55994,33,1,1,0
16859,70,0,0,1
96395,70,0,1,0
35409,58,1,0,0
52671,37,0,0,1
19277,34,1,1,0
58046,29,1,1,1
143,53,0,0,0
6051,88,0,0,0
965,93,0,1,0
